Recipient,State,Municipality,Type,Address,School offering early childhood education,Cação or anjo?
10º Batalhão de Polícia Militar,Rio de Janeiro,Barra do Piraí,Military,"Rod.Lúcia Meira, Km 47",,cação
11º Batalhão de Polícia Militar,Rio de Janeiro,Nova Friburgo,Military,"Praça da Bandeira, s/nº ",,cação
12º Batalhão de Polícia Militar,Rio de Janeiro,Niterói,Military,"Av. Janssem de Melo, s/nº",,cação
12º Batalhão de Polícia Militar CRECHE,Rio de Janeiro,Niterói,School,"Av. Janssem de Melo, s/nº",YES,cação
13º Batalhão de Polícia Militar,Rio de Janeiro,Rio de Janeiro,Military,"Praça Tiradentes, nº 55 ",,cação
14º Batalhão de Polícia Militar,Rio de Janeiro,Rio de Janeiro,Military,"Estrada Guandu do Sena, nº 1954",,cação
15º Batalhão de Polícia Militar,Rio de Janeiro,Duque de Caxias,Military,"Rua Pedro Corrêa, nº 273        ",,cação
16º Military Police Battalion and Centro de Fisiatria e Reabilitação da Polícia Militar,Rio de Janeiro,Rio de Janeiro,Military,"Rua Paranapanema, nº 769",,cação
17º Batalhão de Polícia Militar,Rio de Janeiro,Rio de Janeiro,Military,"Estrada Rio Jequiá, nº 518 ",,cação
18º Batalhão de Polícia Militar,Rio de Janeiro,Rio de Janeiro,Military,"Estrada Pau de Ferro, nº 435",,cação
19º Batalhão de Polícia Militar,Rio de Janeiro,Rio de Janeiro,Military,"Figueiredo Magalhães, nº 550",,cação
1ª Companhia Independente de Polícia Militar ,Rio de Janeiro,Rio de Janeiro,Military,"Rua Cardoso Junior, nº479",,cação
20º Batalhão de Polícia Militar,Rio de Janeiro,Mesquita,Military,"Tenente Aldir, nº 345 ",,cação
21º Batalhão de Polícia Militar,Rio de Janeiro,São João de Meriti,Military,"Av. Automóvel Clube, s/nº ",,cação
22º Batalhão de Polícia Militar/Grupamento de Policiamento em Áreas Especiais,Rio de Janeiro,Rio de Janeiro,Military,"Av. Tancredo Neves, s/nº ",,cação
23º Batalhão de Polícia Militar,Rio de Janeiro,Rio de Janeiro,Military,"Rua Inglaterra, s/nº",,cação
24º Batalhão de Polícia Militar,Rio de Janeiro,Queimados,Military,"Rua Tenente Jerônimo, s/nº ",,cação
25º Batalhão de Polícia Militar,Rio de Janeiro,Cabo Frio,Military,"Rua Inglaterra, s/nº ",,cação
26º Batalhão de Polícia Militar,Rio de Janeiro,Petrópolis,Military,"Rua Domingos Silvério, s/nº ",,cação
27º Batalhão de Polícia Militar,Rio de Janeiro,Santa Cruz,Military,"Rua Guarantãn, s/nº ",,cação
28º Batalhão de Polícia Militar,Rio de Janeiro,Volta Redonda,Military,"Av. NS do Amparo, s/nº ",,cação
29º Batalhão de Polícia Militar,Rio de Janeiro,Itaperuna,Military,BR 356 Km 04 ,,cação
2º Batalhão de Polícia Militar,Rio de Janeiro,Rio de Janeiro,Military,"Rua São Clemente, n.º 345",,cação
3° BATALHÃO DE BOMBEIROS MILITAR,Santa Catarina,Blumenau,Military,"Rua 7 de Setembro, 2880, Blumenau/SC",,anjo
30º Batalhão de Polícia Militar,Rio de Janeiro,Teresópolis,Military,"Rua Guandu, nº 680 ",,cação
31º Batalhão de Polícia Militar,Rio de Janeiro,Rio de Janeiro,Military,"Av Sen Rui Carneiro, s/nº, Km 18,5 ",,cação
32º Batalhão de Polícia Militar,Rio de Janeiro,Macaé,Military,"Estrada do Imburo, n.º s/n ",,cação
34º Batalhão de Polícia Militar,Rio de Janeiro,Magé,Military,"Praça Getúlio Vargas, nº 71",,cação
35º Batalhão de Polícia Militar,Rio de Janeiro,Itaboraí,Military,"Ver. Hermínio de Moraes, nº 280 ",,cação
36º Batalhão de Polícia Militar,Rio de Janeiro,Santo Antônio de Pádua,Military,RJ116 c/ RJ186 ,,cação
39º Batalhão de Polícia Militar,Rio de Janeiro,Belford Roxo,Military,"Joaquim da Costa Lima, s/nº ",,cação
3º Batalhão de Polícia Militar,Rio de Janeiro,Rio de Janeiro,Military,"Rua Lucídio Lago, nº 181",,cação
41º Batalhão de Polícia Militar,Rio de Janeiro,Rio de Janeiro,Military,"Av. Pastor Martin Luther King Jr, no 8848",,cação
49º BATALHÃO DE POLÍCIA MILITAR DO INTERIOR,São Paulo,Jundiaí,Military,"R. Barão do Rio Branco, 318 - Vila Santa Rosa, Jundiaí - SP",,cação
