Destinatário,Estado,Município,Tipo,Endereço,Educação infantil,Cação/anjo
10º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Barra do Piraí,Militares,"Rod.Lúcia Meira, Km 47",,cação
11º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Nova Friburgo,Militares,"Praça da Bandeira, s/nº ",,cação
12º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Niterói,Militares,"Av. Janssem de Melo, s/nº",,cação
12º BATALHÃO DE POLÍCIA MILITAR CRECHE,Rio de Janeiro,Niterói,Escolas,"Av. Janssem de Melo, s/nº",Sim,cação
13º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Rio de Janeiro,Militares,"Praça Tiradentes, nº 55 ",,cação
14º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Rio de Janeiro,Militares,"Estrada Guandu do Sena, nº 1954",,cação
15º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Duque de Caxias,Militares,"Rua Pedro Corrêa, nº 273        ",,cação
16º MILITARY POLICE BATTALION AND CENTRO DE FISIATRIA E REABILITAÇÃO DA POLÍCIA MILITAR,Rio de Janeiro,Rio de Janeiro,Militares,"Rua Paranapanema, nº 769",,cação
17º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Rio de Janeiro,Militares,"Estrada Rio Jequiá, nº 518 ",,cação
18º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Rio de Janeiro,Militares,"Estrada Pau de Ferro, nº 435",,cação
19º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Rio de Janeiro,Militares,"Figueiredo Magalhães, nº 550",,cação
1ª COMPANHIA INDEPENDENTE DE POLÍCIA MILITAR ,Rio de Janeiro,Rio de Janeiro,Militares,"Rua Cardoso Junior, nº479",,cação
20º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Mesquita,Militares,"Tenente Aldir, nº 345 ",,cação
21º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,São João de Meriti,Militares,"Av. Automóvel Clube, s/nº ",,cação
22º BATALHÃO DE POLÍCIA MILITAR/GRUPAMENTO DE POLICIAMENTO EM ÁREAS ESPECIAIS,Rio de Janeiro,Rio de Janeiro,Militares,"Av. Tancredo Neves, s/nº ",,cação
23º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Rio de Janeiro,Militares,"Rua Inglaterra, s/nº",,cação
24º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Queimados,Militares,"Rua Tenente Jerônimo, s/nº ",,cação
25º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Cabo Frio,Militares,"Rua Inglaterra, s/nº ",,cação
26º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Petrópolis,Militares,"Rua Domingos Silvério, s/nº ",,cação
27º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Santa Cruz,Militares,"Rua Guarantãn, s/nº ",,cação
28º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Volta Redonda,Militares,"Av. NS do Amparo, s/nº ",,cação
29º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Itaperuna,Militares,BR 356 Km 04 ,,cação
2º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Rio de Janeiro,Militares,"Rua São Clemente, n.º 345",,cação
3° BATALHÃO DE BOMBEIROS MILITAR,Santa Catarina,Blumenau,Militares,"Rua 7 de Setembro, 2880, Blumenau/SC",,anjo
30º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Teresópolis,Militares,"Rua Guandu, nº 680 ",,cação
31º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Rio de Janeiro,Militares,"Av Sen Rui Carneiro, s/nº, Km 18,5 ",,cação
32º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Macaé,Militares,"Estrada do Imburo, n.º s/n ",,cação
34º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Magé,Militares,"Praça Getúlio Vargas, nº 71",,cação
35º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Itaboraí,Militares,"Ver. Hermínio de Moraes, nº 280 ",,cação
36º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Santo Antônio de Pádua,Militares,RJ116 c/ RJ186 ,,cação
39º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Belford Roxo,Militares,"Joaquim da Costa Lima, s/nº ",,cação
3º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Rio de Janeiro,Militares,"Rua Lucídio Lago, nº 181",,cação
41º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Rio de Janeiro,Militares,"Av. Pastor Martin Luther King Jr, no 8848",,cação
